imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt10845262,Miracle in Cell No. 7,Miracle in Cell No. 7,2019,2020-03-13,Drama,120,Philippines,"Tagalog, Filipino",Nuel C. Naval,"Hwan-kyung Lee, Mel Mendoza-Del Rosario",Viva Films,"Aga Muhlach, Bela Padilla, Xia Vigor, Joel Torre, John Arcilla, Tirso Cruz III, Soliman Cruz, Mon Confiado, JC Santos, Jojit Lorenzo, Mark Anthony Fernandez, Yayo Aguila, Candy Pangilinan, Andrea Del Rosario, Mayton Eugenio","Joselito (Aga Muhlach), an intellectually disabled man who is wrongfully charged with sexual assault, kidnapping and murder of a little girl. In prison he becomes friends with his fellow ...",7.5,1591,,,"$173,454",,7.0,
tt10846772,The Small Hand,The Small Hand,2019,2020,"Drama, Horror, Thriller",115,UK,English,Justin Molotnikov,Susan Hill,Awesome Media & Entertainment,"Douglas Henshall, Louise Lombard, Adrian Rawlins, Cal MacAninch, Paul Barber, Maryam Hamidi, Woody Norman, Neve McIntosh, Calum Caulfield, Billy Thomson, Andrew John Tait, Casper Knopf, Vafa Hamidi-Collins","An antique book dealer finds himself haunted by the ghost of a young boy, he decides to investigate the strange occurrences within his life.",4.3,301,,,,,23.0,1.0
tt1084680,Egon & Dönci,Egon & Dönci,2007,2007-11-29,"Animation, Adventure, Comedy",75,Hungary,None,Ádám Magyar,Elemér Magyar,,,"Egon and Dönci are two lonely inhabitants on a distant solar-system's tiny planetary. Egon is an amateur ""space-exploratory"" trying to seem very moderate, but his deeds are dogged by ...",6.9,681,,,"$27,444",,4.0,1.0
tt1084697,Jump Out Boys,Jump Out Boys,2008,2013-01-06,"Action, Crime",83,USA,"English, French",Amir Valinia,"Tony Faia, Dan Garcia",Dan Garcia Films,"DMX, Kris Kristofferson, Sheldon Robins, Veronica Berry, Eric F. Adams, Lisa Arnold, Randy Austin, Ameer Baraka, J. Omar Castro, Richard Diggs, Zacharias Foppe, Shanna Forrestall, Dan Garcia, Debby Gaudet, Charles Jupiter",Set in post hurricane New Orleans. A brutal Mexican drug lord busts out of jail to retrieve the $15 million that his girlfriend is hiding. Can he find the girl and the cash before the cops ...,2.5,575,"$3,000,000",,,,16.0,4.0
tt1084726,Pánik,Pánik,2008,2008-03-06,"Comedy, Drama, Romance",94,Hungary,Hungarian,Attila Till,Attila Till,Inforg Stúdió,"Ági Gubík, Ildikó Bánsági, Péter Valcz, Judit Schell, Szabolcs Thuróczy, Lehel Kovács, Márta Egri, Eszter Ónodi, Krisztián Kolovratnik, Angéla Stefanovics, Tamás Balikó, Ferenc Kozári, Kalman Eck, András Bakonyi, Gábor Balogh","A collage of human fates, where all shown characters are suffering from panic attacks. Stories like a policeman who is willing to come out or a young business woman who achieved her life goals too early.",6.2,352,,,"$69,393",,1.0,
tt1084733,Necessary Evil,Necessary Evil,2008,2008-12-31,Thriller,87,USA,English,Peter J. Eaton,"Eric Feldman, Christopher James Harvill",Art of War Films,"Frank Novak, Donald Agnelli, Greg Collins, Julia Deane, Drue Delio, James DuMont, Eric Feldman, Kathryn Fiore, Aaron Fors, Daniele Gaither, Tessa Germaine, Samson Ghaffary, Joe Guth, Carolyn Hennesy, Lance Henriksen",A scientist is testing a demonic drug on people in his secret lab. A cop and a female reporter try to stop him.,3.2,420,"$915,000",,,,11.0,6.0
tt1084950,Rachel sta per sposarsi,Rachel Getting Married,2008,2008-11-21,"Drama, Romance",113,USA,English,Jonathan Demme,Jenny Lumet,Armian Pictures,"Sebastian Stan, Roslyn Ruff, Anne Hathaway, Bill Irwin, Anna Deavere Smith, Annaleigh Ashford, Zafer Tawil, Beau Sia, Innbo Shim, Eliza Simpson, Olive, Rosemarie DeWitt, Anisa George, Tamyra Gray, Victoria Haynes","A young woman who has been in and out of rehab for the past ten years, returns home for the weekend for her sister's wedding.",6.7,46805,,"$12,796,841","$16,937,968",82.0,304.0,235.0
tt10849514,"This Is Not a Burial, It's a Resurrection","This Is Not a Burial, It's a Resurrection",2019,2020-06-17,Drama,120,"Lesotho, South Africa, Italy",Southern Sotho,Lemohang Jeremiah Mosese,"Nadja Dumouchel, Lemohang Jeremiah Mosese",,"Jerry Mofokeng, Tseko Monaheng, Makhaola Ndebele, Siphiwe Nzima-Ntskhe, Mary Twala","When her village is threatened with forced resettlement due to reservoir construction, an 80-year-old widow finds a new will to live and ignites the spirit of resilience within her community.",7.2,126,,,,,,5.0
tt1084955,Falling Up,Falling Up,2009,2010-01-05,"Comedy, Drama, Romance",98,USA,English,David M. Rosenthal,"Peter Kellner, David M. Rosenthal",Romeo Sierra Hotel,"Joseph Cross, Sarah Roemer, Snoop Dogg, Rachael Leigh Cook, Claudette Lalí, Joe Pantoliano, Mimi Rogers, Annette O'Toole, Daniel Newman, Sam Page, Frankie Shaw, Gordon Clapp, Jim Piddock, Peter Jason, Ajay Naidu","A nursing student (Cross) forced to quit school for family reasons winds up taking a job as a doorman in an elite apartment building in New York City, where he sparks to one of his residents (Roemer).",5.6,2397,,,,,15.0,6.0
tt1084972,Wanted,Wanted,2009,2009-09-18,"Action, Thriller",147,India,Hindi,Prabhu Deva,"Sunil Kumar Agrawal, Shabbir Ahmed",Sahara One Motion Pictures,"Salman Khan, Ayesha Takia, Vinod Khanna, Govind Namdeo, Prakash Raj, Mahesh Manjrekar, Inder Kumar, Mahek Chahal, Manoj Pahwa, Raju Mavani, Asseem Merchant, Sarfaraz Khan, Sajid Ali, Susilakar Gv, Prateeksha Lonkar","Radhe is a ruthless gangster who will kill anyone for money. He is attracted towards Jhanvi, a middle class girl, who does not approve of his work and wants him to change.",6.6,18355,INR 200000000,"$349,637","$404,099",,47.0,8.0
tt10850450,Cabal,Cabal,2020,2020-03-24,"Action, Horror, Thriller",89,USA,English,Rene Perez,"Barry Massoni, Rene Perez",,"J.D. Angstadt, Michael Arnel, Linda Bott, Joseph Camilleri, Candace Cannon, Keely Dervin, Joseph Donaldson, Justin Donaldson, Alexandra Fabbri, Eva Hamilton, Clementine Hetherington, Brigette Jackson, Tony Jackson, Rodney Lee Johnson, Kimberly Molina",A military assassin is hired to hunt down and eliminate a bloodthirsty serial killer who is committing murders in a forbidden forest.,2.1,124,,,,,6.0,4.0
tt10850892,#Jowable,#Jowable,2019,2019-09-25,Comedy,104,Philippines,"Tagalog, Filipino",Darryl Yap,Darryl Yap,Viva Films,"Kim Molina, Kakai Bautista, Cai Cortez, Jerald Napoles, Candy Pangilinan, Suzette Ranillo, Chad Kinis, Fabio Ide, Debbie Garcia, Ronnie Liang, Jobelyn Manuel, Billy Jake Cortez, Liz Gonzaga, Jean Kiley Manguera, Loren Mariñas",Elsa is a troubled young woman who is yearning for a mature and intimate relationship.,6.3,174,,,"$48,965",,28.0,
tt10851276,El Diablo entre las Piernas,El Diablo entre las Piernas,2019,2019-09-12,"Drama, Romance",147,Mexico,Spanish,Arturo Ripstein,Paz Alicia Garciadiego,Alebrije Cine y Video,"Silvia Pasquel, Alejandro Suárez, Greta Cervantes, Daniel Giménez Cacho, Patricia Reyes Spíndola, Mar Carrera",Beatriz (,5.9,100,,,,,,2.0
tt10851820,Software Sudheer,Software Sudheer,2019,2019-12-13,Drama,125,India,Telugu,Rajasekhar Reddy,,Sekhara Art Creations,"Abhishek, Anil, Anjali, Anji, Baba, Dhanya Balakrishna, Chitra, Sasi Devi, Gaddar., Giri, Prasad Guruji, Indraja, Jayasree, Ravi Kale, Sana Khaan","Chandu and Swathi are Software engineers. Chandu is an average guy who never misses an opportunity to impress Swathi. Once Swathi recognizes Chandu's honesty and innocence, the affair ...",5.9,208,INR 35000000,,,,4.0,
tt1085362,An Angel Named Billy,An Angel Named Billy,2007,2007-07-06,"Drama, Romance",120,USA,English,Greg Osborne,"Kevin M. Glover, Eliezer J. Gregorio",Clearwater Entertainment,"Dustin Belt, Richard Lewis Warren, Hank Fields, Kadyr Gutierrez, Buddy Daniels Friedman, Allison Fleming, Amy Lyndon, Edgar Allan Poe IV, Matt Prokop, Brent Battles, Shawn Richardson, Toni Malone, Robin Dionne, Troy Coleman, Franklyn Passmore III","Evicted from his home, a pleasant gay teen finds support and acceptance as a hired caregiver for a professional photographer's father after his latest stroke.",4.0,359,"$200,000",,,,1.0,
tt1085382,Il killer di Chicago,Chicago Overcoat,2009,2009-10-10,"Action, Adventure, Crime",94,USA,English,Brian Caunter,"John W. Bosher, John W. Bosher",Beverly Ridge Pictures,"Frank Vincent, Kathrine Narducci, Mike Starr, Stacy Keach, Armand Assante, Danny Goldring, Tim Gamble, Martin Shannon, Barret Walz, Gina D'Ercoli, Robert Gerdisch, Rick Plastina, Mark Vallarta, Jack Bronis, Michael Guido",The fates of an aging hitman and a washed up detective become entwined when one last job leads to one last chance to settle an old score.,6.0,947,"$3,000,000",,,,19.0,11.0
tt1085400,Estrellita,Estrellita,2007,2008-01-19,"Drama, Music",97,"Slovenia, Germany, Bosnia and Herzegovina, Republic of North Macedonia","Slovenian, Bosnian",Metod Pevec,Metod Pevec,Vertigo,"Silva Cusin, Marko Kovacevic, Senad Basic, Mediha Musliovic, Tadej Troha, Karin Komljanec, Ana Temeljotov, Volodja Balzalorsky, Natasa Tic Ralijan, Vesna Zornik, Drago Milinovic, Nenad Milikic, Pavle Ravnohrib, Almir Cehajic, Miroslav Mandic","A widow grieves, discovers her deceased spouse's secret, and builds a relationship with a talented boy who used to play the violin with her husband in a local bar.",6.3,130,EUR 1380000,,"$69,043",,1.0,
tt1085445,Kratki stiki,Kratki stiki,2006,2006-09-11,Drama,105,Slovenia,"Slovenian, Portuguese",Janez Lapajne,Janez Lapajne,Triglav Film,"Tjasa Zeleznik, Grega Zorc, Jernej Sugman, Sebastian Cavazza, Boris Cavazza, Mojca Funkl, Vito Taufer, Matija Vastl, Igor Dragar, Masa Derganc, Primoz Ekart, Uros Smolej, Miha Brajnik, Vito Kosir, Tim Dekleva",At night a city bus driver finds an abandoned baby near a stop. A divorced man comes to pick up his excited son for the weekend. A pretty doctor befriends a quadriplegic. Out of this ...,6.9,181,,,,,,7.0
tt1085491,Postales de Leningrado,Postales de Leningrado,2007,2007-09-07,Drama,85,Venezuela,Spanish,Mariana Rondón,Mariana Rondón,Sudaca Films,"Laureano Olivares, Greisy Mena, William Cifuentes, Haydee Faverola, María Fernanda Ferro, Ignacio Marquez, Oswaldo Hidalgo, Claudia Usubillaga, Beto Benites, Daniel Isaac, Nadeschda Makagonow, Valeria Márquez, Richard Navarro, Nelson Rivero, Camila Tikas","Se fueron a salvar al mundo y los seguimos esperando Durante los levantamientos armados de izquierda de los años sesenta en Venezuela, una joven guerrillera debe dar a luz en la ...",6.7,261,,,"$185,691",,2.0,2.0
tt1085492,The Prince - Tempo di uccidere,The Prince,2014,2014-08-22,"Action, Thriller",93,"USA, UK",English,Brian A. Miller,"Andre Fabrizio, Jeremy Passmore",Hannibal Classics,"Jason Patric, Jessica Lowndes, Gia Mantegna, Bruce Willis, Rain, John Cusack, 50 Cent, Don Harvey, Jesse Pruett, Didi Costine, Bonnie Somerville, Tim Fields, Johnathon Schaech, Andrea Burns, Jim Bennett","When his daughter is kidnapped, a retired assassin is drawn back into the life he gave up. To rescue her, he must confront his former rival.",4.6,17298,"$18,000,000",,"$1,289,595",19.0,156.0,50.0
tt1085496,Rock Haven,Rock Haven,2007,2007-06-21,"Drama, Romance",78,Canada,English,David Lewis,David Lewis,Morning View Films,"Sean Hoagland, Owen Alabado, Laura Jane Coles, Katheryn Hecht, Erin Daly, Johnny Yono, David Lewis","Brady (Sean Hoagland), who will shortly be going away to college, is a shy, introspective 18 year old, who moves to the coastal seaside town of Rock Haven with his overprotective, widowed ...",5.5,1531,,,,,31.0,3.0
tt1085507,The Square,The Square,2008,2008-07-31,"Crime, Drama, Thriller",105,Australia,English,Nash Edgerton,"Joel Edgerton, Matthew Dabner",Australian Film Finance Corporation (AFFC),"David Roberts, Claire van der Boom, Peter Phelps, Bill Hunter, Kieran Darcy-Smith, Stephen Weston, Lisa Bailey, Lucy Bell, Anthony Hayes, Damon Herriman, Brendan Donoghue, Luke Doolan, Greg Hatton, Joel Edgerton, Hanna Mangan Lawrence",A man's life begins to unravel when his mistress brings him a bag of cash.,6.7,5399,,"$406,116","$728,903",75.0,40.0,86.0
tt1085515,Weather Girl,Weather Girl,2009,2009-07-10,Comedy,92,USA,English,Blayne Weaver,Blayne Weaver,Secret Identity Productions,"Tricia O'Kelley, Patrick J. Adams, Ryan Devlin, Mark Harmon, Kaitlin Olson, Alex Kapp, Marin Hinkle, Jon Cryer, Jane Lynch, Brandon Barrera, Brett Butler, Enrico Colantoni, Amie Donegan, Timothy Dvorak, Lucas Fleischer","A Seattle weather girl freaks out on-air over her cheating boyfriend, the morning show anchor, and moves in with her little brother.",5.8,3015,,"$22,779","$22,779",47.0,23.0,8.0
tt10857178,Unforgettable,Unforgettable,2019,2019-10-23,Drama,86,Philippines,"Tagalog, Filipino","Perci M. Intalan, Jun Lana","Jun Lana, Keavy Eunice Vicente",Viva Films,"Sarah Geronimo, Kim Molina, Gina Pareño, Ara Mina, Yayo Aguila, Meg Imperial, Lander Vera-Perez, Caleb Santos, Milo, Tirso Cruz III, Anne Curtis, Alessandra de Rossi, Lian Dumas, Cherie Gil, Marco Gumabao","Jasmine takes her newfound doggy friend Happy on a long journey to her sick grandmother in Baguio. The two walk an incredible distance, face all kinds of challenges, run into many strangers...",7.5,116,,,"$35,788",,5.0,
tt1085779,The Hole,The Hole,2009,2010-06-11,"Fantasy, Thriller",92,USA,English,Joe Dante,Mark L. Smith,Bold Films,"Chris Massoglia, Haley Bennett, Nathan Gamble, Teri Polo, Bruce Dern, Quinn Lord, John DeSantis, Douglas Chapman, Mark Pawson, Peter Shinkoda, Jonathan Bruce, Merritt Patterson, Ali Cobrin, Chelsea Ricketts, Chord Overstreet",A pair of brothers stumble upon a mysterious hole in their basement that leads to the darkest corridors of their fears and nightmares.,5.7,22173,"$12,000,000",,"$10,457,002",57.0,80.0,152.0
tt1085799,Heya fawda,Heya fawda,2007,2007-11-28,"Crime, Drama, Romance",124,"France, Egypt",Arabic,"Youssef Chahine, Khaled Youssef",Nasser Abdel-Rahmane,3B Productions,"Khaled Saleh, Menna Shalabi, Youssef El Sherif, Hala Sedki, Hala Fakher, Amr Abdulgalil, Dorra Zarrouk, Abdullah Mishref, Rola Mahmoud, Safwa, Maher Salim, Ahmed Yehia, Ahmed Fouad Selim","Egyptian movie deals with the issue of corruption in Egypt and the Egyptian police excesses, embodies all of this in the character of the police officer, ""Hatem"".",7.1,1688,"$2,000,000",,"$144,357",,7.0,8.0
tt1085806,Darling,Darling,2007,2007-09-07,"Drama, Horror, Romance",128,India,Hindi,Ram Gopal Varma,"Prawaal Raman, Kusum Punjabi",Super Cassettes Industries Limited (T-Series),"Fardeen Khan, Esha Deol, Isha Koppikar, Mukesh Bhatt, Zakir Hussain, Srinivasa Rao Kota, Priyanka Kothari, Upendra Limaye, Pramodini, Ritwik, Pubali Sanyal, Raghvendra Sharda, Shishir Sharma","A man cheats on his wife with his secretary, but things take a major shift after he accidentally kills her.",3.8,570,,,"$736,383",,10.0,10.0
tt1085862,El rey de la montaña,El rey de la montaña,2007,2008-09-12,Thriller,90,Spain,Spanish,Gonzalo López-Gallego,"Javier Gullón, Javier Gullón",Goodfellas,"Leonardo Sbaraglia, María Valverde, Thomas Riordan, Andrés Juste, Pablo Menasanch, Francisco Olmo, Manuel Sánchez Ramos, Michael De La Torre, Luis Fernández de Eribe",Two strangers run from unknown assailants that stalk them through the woods.,6.2,3173,,,"$418,026",,21.0,46.0
tt10860558,Baglilik Asli,Baglilik Asli,2019,2019-09-20,Drama,135,Turkey,Turkish,Semih Kaplanoglu,Semih Kaplanoglu,,"Kubra Kip, Ece Yüksel, Umut Kurt, Almina Kavci, Merve Seyma Zengin, Jale Arikan, Osman Alkas","Asli, a young mother who is trying to find a nanny to get back to work, finally meets young Gulnihal. Gulnihal is also a mother. With Gulnihal coming into her life, Asli faces her secrets which she has been avoiding herself.",4.2,171,,,"$17,276",,2.0,13.0
