imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt6409666,Firildak Ailesi,Firildak Ailesi,2017,2017-02-03,"Animation, Comedy, Fantasy",84,Turkey,Turkish,"Haluk Can Dizdaroglu, Berk Tokay","Haluk Can Dizdaroglu, Haluk Can Dizdaroglu",BKM Film,"Bülent Kayabas, Tülay Bursa, Gülen Karaman, Keremcan Köse, Tülay Köneçoglu, Baris Özgenç, Onur Akgülgil, Ismail Yildiz, Eser Yenenler, Ibrahim Büyükak, Oguzhan Koç, Mahmut Tuncer, Yilmaz Vural, Tayfun Taliboglu, Murat Boz","One night, when all the women are abducted from the village, Sabri Firildak and his friends enter a magical forest to get their wives back.",4.2,413,,,"$1,025,750",,,
tt6409762,Big Legend,Big Legend,2018,2018-06-13,"Action, Adventure, Horror",89,USA,English,Justin Lee,Justin Lee,Fresh Cats Productions,"Kevin Makely, Todd A. Robinson, Summer Spiro, Amanda Wyss, Lance Henriksen, Adrienne Barbeau, Skotty Masgai, Ashley Platz",An ex-soldier ventures into the Pacific Northwest to uncover the truth behind his fiance's disappearance.,4.9,2231,,,,,87.0,14.0
tt6409782,The Doll 2,The Doll 2,2017,2017-07-20,"Horror, Thriller",117,Indonesia,Indonesian,Rocky Soraya,"Riheam Junianti, Rocky Soraya",Hitmaker Studios,"Herjunot Ali, Luna Maya, Sara Wijayanto, Maria Sabta, Rydhen Afexi, Ira Ilva Sari, Mega Carefansa, Shofia Shireen, Wati Sudiyono, Princess Martinez, Dea Rizkyana, Ferdian Ariyadi, Syntia, Wafa, Shandy Aulia","A mother uses her deceased daughter's doll as a medium to communicate with her, but the consequences are chilling.",5.4,398,,,,,11.0,14.0
tt6409856,Alien Outbreak,Alien Outbreak,2020,2020-02-11,Sci-Fi,84,UK,English,Neil Rowe,Neil Rowe,Rendered Pictures,"Katherine Drake, Ritchie Crane, Philip Alexander Baker, Michael Terry, Ian Rowe, Chris Barnicoat, Peggy Salmon, Tom Menary, Jason Collins, Aaron Deakins, Gemma Wilks, Jimmy 'The Bee' Bennett, Tamsyn Pickford, Andrew Horigan, Ben Carroll",A small rural community are under siege by an alien presence and mass suicide panic spreads. Can they be saved from extinction? Spoilers.,3.5,322,,,,,40.0,18.0
tt6409994,Questione di karma,Questione di Karma,2017,2017-03-09,Comedy,90,Italy,Italian,Edoardo Maria Falcone,"Edoardo Maria Falcone, Marco Martani",Rai Cinema,"Elio Germano, Fabio De Luigi, Daniela Virgilio, Valentina Cenni, Massimo De Lorenzo, Corrado Solari, Isabella Ragonese, Philippe Leroy, Eros Pagni, Stefania Sandrelli, Miranda Ardovino, Valerio Ardovino, Cesare Butteroni, Francesca Romana Chieco, Andrea De Maio","Giacomo, an extravagant rich heir, deeply believes in reincarnation. 40 years after the loss of his father, he believes to see his father again when he meets Mario Pitagora, a man far from ...",5.6,612,,,"$846,581",,,4.0
tt6410534,The Portal,The Portal,2017,2017-04-25,Horror,75,USA,English,"Nicky Hawthorne, Svend Ploug Johansen","Michelle Davidson, Michelle Davidson",Ruthless Studios,"Renne Araujo, Angela Borrello, Jules Bruff, Reggie Couz, Anthony Fanelli, Arielle Fanelli, Jaelen Haylette, Joshua Heggie, Kyle Kankonde, Meagan Leigh, Jerod Meagher, Jason Curtis Miller, Michael Mooney, Stephania Potalivo, Brock Powell",An anthology of horror shorts about death.,5.4,186,,,,,1.0,
tt6410564,Il terzo omicidio,Sandome no satsujin,2017,2019-12-19,"Crime, Drama, Mystery",124,Japan,Japanese,Hirokazu Koreeda,Hirokazu Koreeda,Amuse,"Masaharu Fukuyama, Kôji Yakusho, Shinnosuke Mitsushima, Mikako Ichikawa, Izumi Matsuoka, Isao Hashizume, Suzu Hirose, Hajime Inoue, Aju Makita, Ichirô Ogura, Yuki Saitô, Tôru Shinagawa, Kôtarô Yoshida",A courtroom drama centered around the murder of a factory president.,6.7,5169,,"$89,315","$13,411,936",68.0,26.0,107.0
tt6411322,Holiday Inn: The New Irving Berlin Musical - Live,Holiday Inn: The New Irving Berlin Musical - Live,2017,2017-01-14,Musical,128,USA,English,David Horn,"Gordon Greenberg, Chad Hodge",BroadwayHD,"Corbin Bleu, Bryce Pinkham, Lora Lee Gayer, Morgan Gao, Megan Sikora, Jonalyn Saxer, Danny Rutigliano, Megan Lawrence, Borris Anthony York, Drew Redington, Victor Wisehart, Samantha Sturm, Will Burton, Shina Ann Morris, Amanda Rose",Roundabout Theatre Company's live stage production or Irving Berlin's musical about a singer who leaves show business and converts an old Connecticut farmhouse into a performance venue.,7.4,145,,"$144,550","$144,550",,5.0,1.0
tt6411590,1985,1985,2018,2018-12-14,Drama,85,USA,English,Yen Tan,"Hutch, Yen Tan",Floren Shieh Productions,"Cory Michael Smith, Virginia Madsen, Michael Chiklis, Jamie Chung, Aidan Langford, Ryan Piers Williams, Michael Darby, Tina Parker, Bryan Massey, Bill Heck, Marcus DeAnda, Chris Gardner, Gidget Taylor, Talir, Nicole Babin",A closeted young man goes home for the holidays and struggles to reveal his dire circumstances to his conservative family.,7.0,1696,,,"$25,013",71.0,24.0,43.0
tt6411748,Purge of Kingdoms: The Unauthorized Game of Thrones Parody,Purge of Kingdoms: The Unauthorized Game of Thrones Parody,2019,2019-05-23,Comedy,85,USA,English,Ara Paiaya,"J.J. McDowell, Damián Romay",Conglomerate Media,"Angus Macfadyen, Lou Ferrigno, Armando Gutierrez, Anna Hutchison, Madison McKinley, Arin Alldridge, Bret Jones, Sara Jones, Prince Fielder, Luís Moreira, Tim Preston, Ellen Evans, Valentina Novakovic, Adam Bond, Spike White","In a parody of ""Game of Thrones,"" nobles from the Eight Kingdoms gather for Purge Fest 3000 to try and put an end to their violent conflicts, while members of the Fat King's own family conspire to overthrow him.",2.3,398,,,"$27,688",,18.0,2.0
