imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt4580794,Coffee Ani Barach Kahi,Coffee Ani Barach Kahi,2015,2015-04-03,Romance,100,India,Marathi,Prakash Kunte,"Aditi Moghe, Aditi Moghe",Everest Entertainment,"Prarthana Behere, Neha Mahajan, Bhushan Pradhan, Suyash Tilak, Sandesh Kulkarni, Ashwini Ekbote, Vidyadhar Joshi, Ila Bhatey, Avinash Narkar, Suhas Joshi, Suhas Joshi, Dilip Prabhavalkar, Anuja Sathe, Anita Date, Bappa Joshi","What happens when two young people meet and start liking each other? Somebody takes initiative, express the feelings and then if both feel the same, and they click. However, what happens ...",7.1,365,,,,,4.0,3.0
tt4581026,Haram,Haram,2015,2015-02-20,"Drama, Romance",73,India,Malayalam,Vinod Sukumaran,,,"Fahadh Faasil, Radhika Apte, S.P. Sreekumar, Rajshri Deshpande, Sagarika, Madhupal","Balu realize that the helping hand that he offers to Isha, a colleague in distress, ended up in marriage. The initial euphoria over, as the couple settles down to a comfortable life, disagreements start crawling in.",4.5,168,,,,,5.0,
tt4581576,Aftermath - La vendetta,Aftermath,2017,2017-04-07,"Drama, Thriller",94,"UK, USA","English, Thai",Elliott Lester,Javier Gullón,Emmett/Furla/Oasis Films (EFO Films),"Arnold Schwarzenegger, Scoot McNairy, Maggie Grace, Judah Nelson, Larry Sullivan, Jason McCune, Glenn Morshower, Mariana Klaveno, Martin Donovan, Hannah Ware, Christopher Darga, Teri Clark, Dani Sherrick, Jeff Panzarella, Aaron Crutchfield",Two strangers' lives become inextricably bound together after a devastating plane crash.,5.6,21375,"$10,500,000",,"$840,809",44.0,200.0,93.0
tt4584718,Imperfections,Imperfections,2018,2018-07-28,"Comedy, Crime, Mystery",109,USA,English,David Singer,"David Singer, David Singer",Imperfections,"Zach McGowan, Marilu Henner, Virginia Kull, Ed Begley Jr., Ashton Holmes, Chelcie Ross, David Pasquesi, Katie Chang, Behzad Dabu, Jack Foley, Jerry MacKinnon, Ryan Carr, Jay Washington, Randall McDonald, Rula Gardenier","Cassidy is a struggling actress, grinding out auditions, worrying that any chance at stardom may have already passed her by. Desperate to save money to move to Hollywood, she takes a job working as a runner for her mother's boyfriend.",5.5,230,,,,45.0,12.0,5.0
tt4584814,Alice: Boy from Wonderland,Alice: Boy from Wonderland,2015,2015-07-18,"Fantasy, Horror, Mystery",122,South Korea,Korean,Eunhee Huh,Eunhee Huh,,"Jong-Hyun Hong, So-Min Jung, Yeon-joo Jung, Go-Eun Lee, Seung-Yun Lee, Michelle Li, Kap-sook Seo","Hye(Female, 27) has suffered from severe nightmares since she was a child. They actually happens in reality and finally endanger her life. According to a shaman's advice, she decides to ...",6.0,193,,,"$42,318",,1.0,2.0
tt4584862,Bhaskar the Rascal,Bhaskar the Rascal,2015,2015-04-15,"Comedy, Drama, Family",160,India,"Malayalam, Tamil",Siddique,Siddique,Anto Joseph Film Company,"Mammootty, Nayanthara, Sanoop Santhosh, Anikha Surendran, Jennifer Antony, Harisree Asokan, Kalabhavan Shajohn, Saju Navodaya, Janardanan, Isha Talwar, Joemon Joshy",Siddique's 'Bhaskar the Rascal' narrates a story of the deep bonding between a father and his son. Bhaskar (Mammootty) is a business tycoon. After completing his studies from abroad he does...,5.3,830,,,,,6.0,1.0
tt4585660,Klovn Forever,Klovn Forever,2015,2015-09-24,"Comedy, Drama",99,Denmark,"Danish, English",Mikkel Nørgaard,"Casper Christensen, Casper Christensen",Det Danske Filminstitut,"Casper Christensen, Frank Hvam, Gemma Karlsen, Mia Lyhne, Simone Colling, Lars Hjortshøj, Carlos Antonio, Shondrella Avery, Tina Bilsbo, Michael Carøe, Nikolaj Coster-Waldau, Ole Dupont, Vanéx Favors, Isla Fisher, Amber Friendly","Frank and Casper's friendship is put to a test, when Casper decides to leave Denmark to pursue a solo career in Los Angeles. Determined to win his best friend back Frank chooses to follow Casper ensuring an eventful trip.",6.2,4055,,"$5,700","$7,585,569",57.0,4.0,15.0
tt4586114,A Night of Horror: Volume 1,A Night of Horror: Volume 1,2015,2015-11-01,"Horror, Thriller",88,"Australia, Canada, USA",English,"Bossi Baker, Nicholas Colla","Bossi Baker, Dan Berghofer",Deadhouse Films,"Bianca Bradey, Emily Wheaton, Rosie Keogh, Tegan Higginbotham, Pauline Grace, Jessica Gower, John Flaus, Bridget Williams, Jessica Hinkson, Kaylea Caulfield, Daniel Daperis, David Macrae, Nicholas Colla, Ben Ridgwell, Lucia Emmerichs",Ten filmmakers. One night of horror.,4.1,411,,,,,5.0,4.0
tt4586136,Tsunambee: The Wrath Cometh,Tsunambee: The Wrath Cometh,2015,2015,"Drama, Horror",82,USA,English,"Milko Davis, Thomas Martwick",Milko Davis,,"Stacy Pederson, Ruselis Aumeen Perry, Shale Le Page, Maria DeCoste, Thea Saccoliti, Charlie Aligaen, Jeff Pederson, Jordan Chesnut, Aaron Goodman, WonDrae Hart, Jon Kunsch, Walter Anaruk, Jerell Klaver, Kim Green, Cherith Steininger","After atmospheric catastrophes send Los Angeles into chaos, three groups of survivors who escaped the city must put aside their differences to face a series of apocalyptic events. As they ...",2.0,175,"$780,000",,,,5.0,22.0
tt4586626,Showdown in Manila,Showdown in Manila,2016,2018-01-19,Action,86,USA,English,Mark Dacascos,"Craig Hamann, Alexander Nevsky",Hollywood Storm,"Alexander Nevsky, Casper Van Dien, Cary-Hiroyuki Tagawa, Tia Carrere, Mark Dacascos, Hafedh Dakhlaoui, Matthias Hues, Don Wilson, Cynthia Rothrock, Olivier Gruner, Dmitriy Dyuzhev, Maria Bravikova, Iza Calzado, Jake Macapagal, Hazel Faith Dela Cruz",Private detectives Nick (Alexander Nevsky) and Charlie (Casper Van Dien) live and work in Manila. A murder investigation leads them to the jungle camp of an international terrorist called ...,2.4,1626,,,"$622,787",,13.0,22.0
