imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt1591095,Insidious,Insidious,2010,2011-10-28,"Horror, Mystery, Thriller",103,"USA, Canada, UK",English,James Wan,Leigh Whannell,FilmDistrict,"Patrick Wilson, Rose Byrne, Ty Simpkins, Lin Shaye, Leigh Whannell, Angus Sampson, Barbara Hershey, Andrew Astor, Corbett Tuck, Heather Tocquigny, Ruben Pla, John Henry Binder, Joseph Bishara, Philip Friedman, J. LaRose",A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.,6.8,271766,"$1,500,000","$54,009,150","$99,557,032",52,899,337
tt1924334,Occupied,Occupied,2011,2011,Thriller,88,"USA, Canada, UK",English,Mollie Binkley,Mollie Binkley,,"Liza Binkley, Liza Bock, Lucy Bock, Oliver Bock, Phil Cairns, Jim Shelby","A psychological thriller isolated in the redwoods above Silicon Valley. When free spirit Sarah, 21, goes to babysit her young cousin, it becomes apparent that the dangers that lurk outside ...",3,117,,,,,11,1
tt0411323,Downloading Nancy,Downloading Nancy,2008,2009-05-01,"Drama, Thriller",102,"USA, Canada, Serbia",English,Johan Renck,"Pamela Cuming, Lee Ross",Tule River Films,"Maria Bello, Rufus Sewell, Jason Patric, Amy Brenneman, Michael Nyqvist, David Lawrence Brown, Josh Strait, Kimberly Elek, Matthew Harrison, Sunny Doench, Justin Scot","An unhappy wife orders a guy she meets over the Internet to kill her, but the two of them fall in love.",5.8,2658,"$3,000,000","$22,282","$22,282",19,32,33
tt3450958,The War - Il pianeta delle scimmie,War for the Planet of the Apes,2017,2017-07-13,"Action, Adventure, Drama",140,"USA, Canada, New Zealand","English, American Sign Language",Matt Reeves,"Mark Bomback, Matt Reeves",Twentieth Century Fox,"Andy Serkis, Woody Harrelson, Steve Zahn, Karin Konoval, Amiah Miller, Terry Notary, Ty Olsson, Michael Adamthwaite, Toby Kebbell, Gabriel Chavarria, Judy Greer, Sara Canning, Devyn Dalton, Aleks Paunovic, Alessandro Juliani","After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind.",7.4,222173,"$150,000,000","$146,880,162","$490,719,763",82,884,469
tt0480269,Interview,Interview,2007,2008-04-11,Drama,84,"USA, Canada, Netherlands",English,Steve Buscemi,"David Schechter, Theo van Gogh",Cinemavault,"Steve Buscemi, Sienna Miller, Michael Buscemi, Tara Elders, David Schechter, Molly Griffith, Elizabeth Bracco, James Villemaire, Jackson Loo, Craig muMs Grant, Doc Dougherty, Donna Hanover, Wayne Wilcox, Danny Schechter, Philippe Vonlanthen","After falling out with his editor, a fading political journalist is forced to interview America's most popular soap actress.",6.8,13228,,"$416,951","$1,469,644",64,61,119
tt2113659,Elsa & Fred,Elsa & Fred,2014,2014-10-30,"Comedy, Drama, Romance",93,"USA, Canada, Mexico, Puerto Rico",English,Michael Radford,"Marcos Carnevale, Marcela Guerty",Cuatro Plus Films,"Shirley MacLaine, Christopher Plummer, Marcia Gay Harden, Wendell Pierce, Jared Gilman, Erika Alexander, Chris Noth, Scott Bakula, George Segal, Reg Rogers, James Brolin, Sam Medina, Jackie Tuttle, Michael Hartson, Deanna Meske",A withdrawn senior experiences life in new ways when he begins spending time with the free-spirited woman who lives across the hall.,6.5,2882,,"$285,863","$761,923",49,22,57
tt0363547,L'alba dei morti viventi,Dawn of the Dead,2004,2004-04-23,"Action, Horror",101,"USA, Canada, Japan, France",English,Zack Snyder,"George A. Romero, James Gunn",Strike Entertainment,"Sarah Polley, Ving Rhames, Jake Weber, Mekhi Phifer, Ty Burrell, Michael Kelly, Kevin Zegers, Michael Barry, Lindy Booth, Jayne Eastwood, Boyd Banks, Inna Korobkina, R.D. Reid, Kim Poirier, Matt Frewer","A nurse, a policeman, a young married couple, a salesman and other survivors of a worldwide plague that is producing aggressive, flesh-eating zombies, take refuge in a mega Midwestern shopping mall.",7.3,230596,"$26,000,000","$59,020,957","$102,278,712",59,1108,297
tt0112763,Cyberjack - Sfida finale,Cyberjack,1995,1995-04-30,"Action, Sci-Fi",99,"USA, Canada, Japan",English,Robert Lee,Eric Poppen,Everest Pictures Inc.,"Michael Dudikoff, Suki Kaiser, Brion James, Johnny Cuthbert, James Thom, Topaz Hasfal-Schou, Garvin Cross, Dean McKenzie, Duncan Fraser, Hiro Kanagawa, Alvin Sanders, Terry Barclay, Jerry Wasserman, John Tench, Craig Bruhnanski","In the near future Nassim, terrorist leader, storms computer company headquarters. His aim is deadly computer virus that could bring him world domination. Nick, company janitor and ex-cop, ...",4.3,488,"$2,000,000",,,,9,22
tt0118564,Affliction,Affliction,1997,1999-04-02,"Drama, Mystery, Thriller",114,"USA, Canada, Japan",English,Paul Schrader,"Russell Banks, Paul Schrader",JVC Entertainment Networks,"Nick Nolte, Brigid Tierney, Holmes Osborne, Jim True-Frost, Tim Post, Christopher Heyerdahl, Marian Seldes, Janine Theriault, Mary Beth Hurt, Paul Stewart, Sissy Spacek, Wayne Robson, Sean McCann, Sheena Larkin, Penny Mancuso",A deeply troubled small-town cop investigates a suspicious hunting death while other events jeopardize his sanity.,7,14787,"$6,000,000","$6,330,054","$6,330,054",79,176,70
tt1086064,Bill & Ted Face the Music,Bill & Ted Face the Music,2020,2020-08-28,"Adventure, Comedy, Music",91,"USA, Canada, Italy",English,Dean Parisot,"Chris Matheson, Ed Solomon",Hammerstone Studios,"Keanu Reeves, Alex Winter, Kristen Schaal, Samara Weaving, Brigette Lundy-Paine, William Sadler, Anthony Carrigan, Erinn Hayes, Jayma Mays, Hal Landon Jr., Beck Bennett, Kid Cudi, Amy Stoch, Holland Taylor, Jillian Bell","Once told they'd save the universe during a time-traveling adventure, 2 would-be rockers from San Dimas, California find themselves as middle-aged dads still trying to crank out a hit song and fulfill their destiny.",6.4,9992,,"$1,220,452","$1,231,664",66,333,78
